advertiser_id,product_id,date
HDXVWMQ53JJC0BY84N3E,7adfok,2024-04-29
HDXVWMQ53JJC0BY84N3E,57b6t8,2024-04-29
HDXVWMQ53JJC0BY84N3E,yqbdwk,2024-04-29
HDXVWMQ53JJC0BY84N3E,agjftx,2024-04-29
HDXVWMQ53JJC0BY84N3E,8he1tz,2024-04-29
HDXVWMQ53JJC0BY84N3E,zoa4l0,2024-04-29
HDXVWMQ53JJC0BY84N3E,yak451,2024-04-29
HDXVWMQ53JJC0BY84N3E,804chu,2024-04-29
HDXVWMQ53JJC0BY84N3E,5qnv42,2024-04-29
HDXVWMQ53JJC0BY84N3E,ekcqk1,2024-04-29
HDXVWMQ53JJC0BY84N3E,0nvd36,2024-04-29
HDXVWMQ53JJC0BY84N3E,up66wf,2024-04-29
HDXVWMQ53JJC0BY84N3E,up66wf,2024-04-29
HDXVWMQ53JJC0BY84N3E,enuqbq,2024-04-29
HDXVWMQ53JJC0BY84N3E,hqqi9g,2024-04-29
HDXVWMQ53JJC0BY84N3E,7j791j,2024-04-29
HDXVWMQ53JJC0BY84N3E,vu3efh,2024-04-29
HDXVWMQ53JJC0BY84N3E,7j791j,2024-04-29
HDXVWMQ53JJC0BY84N3E,yqbdwk,2024-04-29
HDXVWMQ53JJC0BY84N3E,b57njm,2024-04-29
HDXVWMQ53JJC0BY84N3E,bmxwx9,2024-04-29
HDXVWMQ53JJC0BY84N3E,90nyyu,2024-04-29
HDXVWMQ53JJC0BY84N3E,804chu,2024-04-29
HDXVWMQ53JJC0BY84N3E,hh7niy,2024-04-29
HDXVWMQ53JJC0BY84N3E,ekcqk1,2024-04-29
HDXVWMQ53JJC0BY84N3E,yak451,2024-04-29
HDXVWMQ53JJC0BY84N3E,0nvd36,2024-04-29
HDXVWMQ53JJC0BY84N3E,913b0c,2024-04-29
HDXVWMQ53JJC0BY84N3E,b57njm,2024-04-29
HDXVWMQ53JJC0BY84N3E,zoa4l0,2024-04-29
HDXVWMQ53JJC0BY84N3E,3np47d,2024-04-29
HDXVWMQ53JJC0BY84N3E,86iv35,2024-04-29
HDXVWMQ53JJC0BY84N3E,57b6t8,2024-04-29
HDXVWMQ53JJC0BY84N3E,86iv35,2024-04-29
